Step,Loss,LearningRate,Epoch,StepDuration_Seconds
1490,5.5206,8.33e-06,30,1.0785
1500,5.4765,8.31e-06,31,1.1248
1510,5.4593,8.28e-06,31,1.1824
1520,5.4636,8.26e-06,31,1.1463
1530,5.2995,8.24e-06,31,1.0766
1540,5.4264,8.21e-06,31,1.0347
1550,5.4257,8.19e-06,32,1.2187
1560,5.2647,8.17e-06,32,1.0930
1570,5.6420,8.15e-06,32,1.0907
1580,5.4236,8.12e-06,32,1.0888
1590,5.1643,8.10e-06,32,1.0999
1600,5.4320,8.07e-06,33,1.0828
1610,5.1779,8.05e-06,33,1.0613
1620,5.4328,8.03e-06,33,1.0627
1630,5.4793,8.00e-06,33,1.0884
1640,5.1732,7.98e-06,33,1.0628
1650,5.4317,7.95e-06,34,1.0544
1660,5.3401,7.93e-06,34,1.0953
1670,5.3925,7.91e-06,34,1.0773
1680,5.5449,7.88e-06,34,1.1652
1690,5.2148,7.86e-06,34,0.9575
1700,5.1298,7.83e-06,35,1.1446
1710,5.1008,7.81e-06,35,1.1523
1720,5.1032,7.78e-06,35,0.9863
1730,5.2055,7.76e-06,35,1.0729
1740,5.2598,7.73e-06,35,1.0714
1750,5.2418,7.71e-06,36,1.0196
1760,5.3161,7.68e-06,36,1.0511
1770,5.1857,7.66e-06,36,1.0345
1780,5.3936,7.63e-06,36,1.1776
1790,5.1278,7.61e-06,36,1.1368
1800,5.5675,7.58e-06,37,1.1536
1810,5.2453,7.56e-06,37,1.1261
1820,5.0150,7.53e-06,37,1.0335
1830,4.9751,7.50e-06,37,1.0638
1840,5.2004,7.48e-06,37,1.1145
1850,5.0868,7.45e-06,38,1.0289
1860,5.2198,7.43e-06,38,1.1256
1870,5.1761,7.40e-06,38,1.0780
1880,5.0867,7.37e-06,38,1.0713
1890,4.9631,7.35e-06,38,1.1255
1900,4.8555,7.32e-06,39,1.1122
1910,5.0084,7.30e-06,39,1.0720
1920,5.1966,7.27e-06,39,1.1480
1930,5.0931,7.24e-06,39,1.0359
1940,4.8669,7.22e-06,39,1.1208
1950,5.0727,7.19e-06,40,1.1197
1960,5.0975,7.16e-06,40,1.0745
1970,4.9001,7.14e-06,40,1.1063
1980,5.0489,7.11e-06,40,1.0274
1990,5.0277,7.08e-06,40,1.1362
2000,4.8407,7.05e-06,41,1.0808
2010,5.0591,7.03e-06,41,1.0639
2020,5.0829,7.00e-06,41,1.1425
2030,5.1546,6.97e-06,41,1.0548
2040,5.1436,6.95e-06,41,1.0196
2050,4.7724,6.92e-06,42,1.0122
2060,4.8319,6.89e-06,42,1.1203
